freq_desc,year,week_ending,agg_level_desc,end_code,reference_period_desc,group_desc,congr_district_code,zip_5,location_desc,begin_code,state_ansi,watershed_code,watershed_desc,asd_desc,CV (%),domain_desc,state_alpha,short_desc,util_practice_desc,state_fips_code,domaincat_desc,sector_desc,county_name,asd_code,Value,country_code,statisticcat_desc,state_name,class_desc,prodn_practice_desc,county_code,load_time,county_ansi,unit_desc,commodity_desc,source_desc,region_desc,country_name
ANNUAL,2020,,COUNTY,00,YEAR,FIELD CROPS,,,"IOWA, NORTHWEST, BUENA VISTA",00,19,00000000,,NORTHWEST,2.9,TOTAL,IA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",GRAIN,19,NOT SPECIFIED,CROPS,BUENA VISTA,10,183.9,9000,YIELD,IOWA,ALL CLASSES,ALL PRODUCTION PRACTICES,021,2024-02-23 15:00:00.000,021,BU / ACRE,CORN,SURVEY,,UNITED STATES
ANNUAL,2020,,COUNTY,00,YEAR,FIELD CROPS,,,"IOWA, NORTHWEST, CHEROKEE",00,19,00000000,,NORTHWEST,2.1,TOTAL,IA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",GRAIN,19,NOT SPECIFIED,CROPS,CHEROKEE,10,185.7,9000,YIELD,IOWA,ALL CLASSES,ALL PRODUCTION PRACTICES,035,2024-02-23 15:00:00.000,035,BU / ACRE,CORN,SURVEY,,UNITED STATES
ANNUAL,2020,,COUNTY,00,YEAR,FIELD CROPS,,,"IOWA, NORTHWEST, CLAY",00,19,00000000,,NORTHWEST,3.4,TOTAL,IA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",GRAIN,19,NOT SPECIFIED,CROPS,CLAY,10,168.1,9000,YIELD,IOWA,ALL CLASSES,ALL PRODUCTION PRACTICES,041,2024-02-23 15:00:00.000,041,BU / ACRE,CORN,SURVEY,,UNITED STATES
ANNUAL,2020,,COUNTY,00,YEAR,FIELD CROPS,,,"IOWA, NORTHWEST, DICKINSON",00,19,00000000,,NORTHWEST,1.4,TOTAL,IA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",GRAIN,19,NOT SPECIFIED,CROPS,DICKINSON,10,182.2,9000,YIELD,IOWA,ALL CLASSES,ALL PRODUCTION PRACTICES,059,2024-02-23 15:00:00.000,059,BU / ACRE,CORN,SURVEY,,UNITED STATES
ANNUAL,2020,,COUNTY,00,YEAR,FIELD CROPS,,,"IOWA, NORTHWEST, EMMET",00,19,00000000,,NORTHWEST,1.6,TOTAL,IA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",GRAIN,19,NOT SPECIFIED,CROPS,EMMET,10,186.1,9000,YIELD,IOWA,ALL CLASSES,ALL PRODUCTION PRACTICES,063,2024-02-23 15:00:00.000,063,BU / ACRE,CORN,SURVEY,,UNITED STATES
ANNUAL,2020,,COUNTY,00,YEAR,FIELD CROPS,,,"IOWA, NORTHWEST, LYON",00,19,00000000,,NORTHWEST,2.9,TOTAL,IA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",GRAIN,19,NOT SPECIFIED,CROPS,LYON,10,197,9000,YIELD,IOWA,ALL CLASSES,ALL PRODUCTION PRACTICES,119,2024-02-23 15:00:00.000,119,BU / ACRE,CORN,SURVEY,,UNITED STATES
ANNUAL,2020,,COUNTY,00,YEAR,FIELD CROPS,,,"IOWA, NORTHWEST, O BRIEN",00,19,00000000,,NORTHWEST,1.6,TOTAL,IA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",GRAIN,19,NOT SPECIFIED,CROPS,O BRIEN,10,199.5,9000,YIELD,IOWA,ALL CLASSES,ALL PRODUCTION PRACTICES,141,2024-02-23 15:00:00.000,141,BU / ACRE,CORN,SURVEY,,UNITED STATES
ANNUAL,2020,,COUNTY,00,YEAR,FIELD CROPS,,,"IOWA, NORTHWEST, OSCEOLA",00,19,00000000,,NORTHWEST,0.8,TOTAL,IA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",GRAIN,19,NOT SPECIFIED,CROPS,OSCEOLA,10,185.3,9000,YIELD,IOWA,ALL CLASSES,ALL PRODUCTION PRACTICES,143,2024-02-23 15:00:00.000,143,BU / ACRE,CORN,SURVEY,,UNITED STATES
ANNUAL,2020,,COUNTY,00,YEAR,FIELD CROPS,,,"IOWA, NORTHWEST, PALO ALTO",00,19,00000000,,NORTHWEST,2.0,TOTAL,IA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",GRAIN,19,NOT SPECIFIED,CROPS,PALO ALTO,10,181.1,9000,YIELD,IOWA,ALL CLASSES,ALL PRODUCTION PRACTICES,147,2024-02-23 15:00:00.000,147,BU / ACRE,CORN,SURVEY,,UNITED STATES
ANNUAL,2020,,COUNTY,00,YEAR,FIELD CROPS,,,"IOWA, NORTHWEST, POCAHONTAS",00,19,00000000,,NORTHWEST,1.4,TOTAL,IA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",GRAIN,19,NOT SPECIFIED,CROPS,POCAHONTAS,10,186.2,9000,YIELD,IOWA,ALL CLASSES,ALL PRODUCTION PRACTICES,151,2024-02-23 15:00:00.000,151,BU / ACRE,CORN,SURVEY,,UNITED STATES
