lat,lon,clay,silt,sand,soc,ph
41.33148761,-94.92782663,34.95,60.33333333,4.7,11.86666667,0.636666667
40.738,-93.786,412.5,495.0,92.5,140.0,6.166666667
42.036,-94.861,369.1666667,574.3333333,56.33333333,125.6666667,6.55
43.204,-94.207,323.6666667,386.1666667,290.3333333,178.0,7.2
41.683,-95.817,247.1666667,718.0,34.83333333,131.3333333,6.8
42.428,-94.182,287.1666667,400.0,312.8333333,169.8333333,6.733333333
41.032,-91.949,351.5,617.3333333,31.16666667,122.3333333,6.133333333
43.357,-92.317,290.1666667,435.3333333,274.5,196.0,6.383333333
43.082,-94.678,218.1666667,368.3333333,413.5,159.0,7.116666667
40.735,-94.244,401.6666667,541.3333333,57.0,141.6666667,6.333333333
41.898,-90.532,321.6666667,620.6666667,57.66666667,135.3333333,6.1
42.385,-94.64,392.6666667,474.6666667,132.6666667,139.8333333,6.85
43.377,-93.261,221.5,420.6666667,357.8333333,210.5,6.433333333
42.47,-92.309,290.5,394.8333333,314.6666667,130.6666667,6.483333333
41.029,-93.785,405.5,515.8333333,78.66666667,118.5,6.383333333
42.863,-91.844,290.0,423.6666667,286.1666667,158.1666667,6.133333333
41.334,-93.561,363.6666667,524.3333333,112.0,139.8333333,6.366666667
41.331,-94.471,394.8333333,547.5,57.66666667,137.5,6.433333333
41.686,-92.531,365.1666667,501.0,133.8333333,120.5,6.266666667
41.685,-95.31,341.1666667,605.6666667,53.0,143.0,6.35
40.739,-93.327,393.8333333,534.6666667,71.83333333,151.8333333,6.066666667
42.172,-90.574,305.1666667,568.1666667,126.6666667,171.0,6.233333333
42.845,-91.341,309.1666667,618.3333333,72.5,166.0,6.15
42.735,-95.151,368.3333333,500.6666667,131.1666667,144.1666667,6.666666667
41.028,-94.242,415.6666667,500.1666667,84.0,140.3333333,6.183333333
41.336,-92.179,400.3333333,435.8333333,164.0,128.8333333,6.2
42.036,-93.465,295.8333333,358.3333333,345.8333333,120.8333333,6.683333333
43.356,-92.789,300.5,391.8333333,307.5,175.6666667,6.516666667
42.402,-92.791,350.6666667,579.0,70.5,128.8333333,6.4
43.291,-91.844,306.3333333,545.0,148.8333333,128.1666667,5.966666667
